제목,댓글,내용
포켓 진짜 50원만가자,,부탁한다
빗썸 거래소의 계획은  알트코인 0원화야.,,ㅇㅇ  - dc official App
코인을 살빠에 자선단체에 기부를 하자.  거래소만 배불린다.,,ㅇㅇ  - dc official App
가두리  프렉스코인,,장이 개판 이니  저런 코인가지고 장난 치네코인판 망했구나맘을 비울때가 왔나부다
이 갤러리 존나 웃긴 새끼들 많네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,즈그들 손가락으로 매수 매도 했으면서거래소 욕이 왤케 많노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ거래소에서 개잡코 물리라고 시켰음?ㅇㅇ?
코인대여같은거 1-2퍼먹는식으로도,1,괜찮음?걍 일주일 이상 존버하려고 하는거 말고 단타식으로 코인대여 테더 받아서 숏 쳐놓고는 1-2퍼 정도 불려서 먹고 빠지는 식으로 지금 진입 타이밍괜찮나 이거 지금 시세서 김프 좀더 빠질거 생각하면 1퍼띠기 나쁘지 않아보이는데
개털어버리고 난이도 존나 높이는거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하여튼 거래소ㅓ 새기들 ㅋㅋ
포켓 시발개같은년,,ㅇㅇ
질리카 오늘 6시에 입출금 제한인가요?,,조금 상승하는듯한데...입출금 제한 영향있을지..  - dc official App
빗썸 쓰레기 알트 다시 0원을 향해  떡락,,ㅇㅇ  - dc official App
프렉스 셰어 반등 한다.  하락은 쇼임.,,ㅇㅇ  - dc official App
뷰질리카 30원 간댜,,ㅇㅇ
비트코인 0.1개 모아보고 싶어요,,일일매수 했는데평단가 1.3억 .....언제 모으나...
코인안함 ㅡ 희망도 없늠,,ㅉㅈㅈㅈㅈ
프렉스셰어 입금 막았다.  펌핑 조짐이 보인다,,ㅇㅇ  - dc official App
업비트 입출막하면 개펌핑 빗섬보소 봇장난 좆같이운영한다,,탈퇴
프렉스세어 입금 막았네.  펌핑 할라고,,ㅇㅇ  - dc official App
가두리 공지 한방에,1,"급상승 하는 프랙스셰어리브랜딩, 토큰스왑 공지 뜸뜨자마자 +30% 빗썸 7시 가두리 예쩡 ㄷㄷㄷ"
역대급 불장 오겠노,,고래들 비트코인 500조 유입 확인
테더나 대여할까?,1,테더가 김프도 가득낌시장은 약회복세고 환율도 그렇고 테더도 앞으로 빠지는 추세임어차피 갚을떄는 빠져서 이득일꺼고 빗썸코인대여 테더나 좀 해볼까 싶음
엑시 어디까지 빠지냐;;,,이정도 개미 털었으면 인간적으로 올라가자 씹탱아
업비트는 코인하는 넘들을 아에 병신으로 만드네,,ㅉㅈㅈㅈㅈ
오늘 작정하고 개터는거보니까 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋ코인판 또 답없네다 출금!!
코스피 ㅋ,,또 5200
빗썸 봇이 역겹다면. 업비트로  대이동  !!   국내1위 탈환 가즈아.,,ㅇㅇ  - dc official App
신퓨처스는  다시  50원 찍으러 가냐 ??,,ㅇㅇ  ?  - dc official App
랄로같은애들이 선물로 버는거냐?,,보통 레버리지 몇배로 함?
ㅋㅋ 궁금하네 ㅋㅋ 개카르고 같은거 사는샇람도 있냐?,,ㄹㄹㄹ
빗썸 봇이 역겹다면. 업비트로  대이동  !!   국내1위 탈환 가즈아.,,ㅇㅇ  - dc official App
신퓨처스는  다시  50원 찍으러 가냐 ??,,ㅇㅇ  ?  - dc official App
랄로같은애들이 선물로 버는거냐?,,보통 레버리지 몇배로 함?
ㅋㅋ 궁금하네 ㅋㅋ 개카르고 같은거 사는샇람도 있냐?,,ㄹㄹㄹ
빗썸 거래소 상장된 코인은 0원까지  매도로 숏 칠꺼임.,,업비트로  가즈아  - dc official App
코인 하는분들 잘 들으세요,,- dc official App
모두  업비트로  대이동 !!  반등 못 먹으러 갑시다,,ㅇㅇ  - dc official App
"[단독] ""에어드롭도 과세 대상""…당국, '가상자산 포괄주의' 도입한다",,"https://bloomingbit.io/feed/news/105208?cmVmPTAzM0I0Mg%3D%3D"">[단독] ""에어드롭도 과세 대상""…당국, '가상자산 포괄주의' 도입한다https://bloomingbit.io/feed/news/105208?cmVmPTAzM0I0Mg%3D%3D"
업비트 고인물  크게 반등한다.,,ㅇㅇ  - dc official App
우상향하는 코인이 없구나,,좃비트는  전체 코인중에 우상향 하는 코인이 하나도 없구나 올리면 .태초가격으로 빼는건 국룰인가? 아주 나쁜거래소 는 맞는거 같다
ㅋㅋㅋ와 오늘은 진심으로 튀어야겠네,,역대급 개설거지네 ㅋㅋㅋㅋㅋㅋㅋㅋ
시발 좆같네,,주식빼고 코인한지 8개월정도 된거 같은데 코인 이 젖같은것들은 개같이 빠지고 오르는건 좆같이 오르고 주식새끼들은 시발 잘하면 집업글되니마니 하고 있고   - dc official App
내가 어제부터 풀대출 박으라고 했자나 쯧쯧쯧,,미래를 보는 남자 말을 안들으니까 돈을 못벌지풀대출박고 한숨 자고 오면 돈 복사 된다고 그렇게 설명했는데 후우...가난은 너의 운명인거지...
디카르고 같은것만 봐도 ㅡ 업비트는토나옴 ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋ
복구 방법은  업비트 고인물 코인이다.,,ㅇㅇ  - dc official App
리또속이었네 00시에 33달러 간다며?븅신들아,,시발  - dc official App
돈만 들어가면 쳐꼽는거봐라 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
줍줍타임,,시작하는것 같구만 다들 알지 지금이 기회인가 슬슬 주워보자 버니깐 커먼 이놈이 좀 맛있어보이네 하루 3배올리고 횡보하는거 보니 개미 다 털렸지 슬슬 모아가보자고 호재도 좀 많은것 같으니
포켓몬은 천사네!! 구조하고 보나스도 챙겨주고!!,,ㅇㅇ ㄹㅇ- dc official App
로아코어 입출금 중단시켜라,,자전거래로 1000%펌핑 해라죄다 자전거래 인데
포켓몬 100원 가자,,십새야
신촌역 ＰＣ방,,신촌역 ＰＣ방
어치피 10원 위로더 못가는 디카르고 같은건 왜 상폐안시키지,,ㅉㅈㅈㅈㅈ
업비트 고인물 코인  사야  복구 합니다.,,진정  - dc official App
오늘은 세력들이 작정하고 설거지했네,,ㅋㅋㅋㅋㅋ니들 너무 많이먹여줬다 이거지
아래서 안사고,,올라갈때 쳐사놓고 코인탓 환경탓 ㅉㅉ고@ㅏ쉑들
이쯤되면 상폐슈퍼빔 와야되는거아니냐?,,아님?
업비트 보면 토만나옴,,ㅉㅈㅈㅈㅈㅈ
코인은 사기다 !!,,쓰레기 같은  폰지 사기  - dc official App
오늘 개미들 돈 안먹여줄려고  용을쓴다 ㅋㅋㅋ,,ㅋㅋㅋㅇ
개씹도박판 ㅋㅋ 개미들 돈 안주겟단 의지,,씨발넘들 ㅋㅋ- dc official App
이새기들이 딱 돈들어오는거보고 설거지하네 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 코인판프로그램 설거지 좆대네 ㅋㅋㅅㅍ
요즘 코인거래대금 겁나들어오는거이거...수상한데,,먹고튈려고하는거야..아니면 불장만들생각이야?  - dc official App
어치피 ㅋㅋㅋ 10원이 끝인데 개카르고를 왜삼 ㅋㅋㅋㅋ,,ㄹㄹㄹㄹㄹ
장 겁나좋구만 물린거만아니면 다먹었을텐데 아쉽네,,ㅜㅜㅜ
장 난이도 씨발련들이 강제로 올리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
"[속보] 디카르고, 카카오페이와 협업",,ㅇㅇ  - dc official App
로아코어 문닫고 펌핑 졸라해라,,어차피 지들끼리 하는거ㅋ
로아코어 자전거래 졸라돌리네,,개새키들
포켓몬 오늘 100원 가냐?,,ㄱㄱ
와 ~ 프로그램 돌리는거 레전드 갱신이네 ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2323
가는척하면서 싹 설거지하는거봐라 씨발련들이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
쿼크 설겆아 철지게 하네!!,,ㅇㅇ ㄹㅇ- dc official App
ㅋㅋㅋㅋ프로그램돌리면서 전부 설거지하는거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇ
냄새 많이 나네,1,"어제보다 장 자체는 조금 나아지긴 함

김프가 많이 끼기도 했고







어제랑 다른점이 알트 라인업이 어제보다 지독함




포켓네트워크또가고




로아코어 빗썸에서펌핑 장난질 많이 되던 코인 보임




시총도 가벼워서 한번 올릴라치면 100% 가능"
오늘 절대하지마라 ㅋㅋㅋ니들 돈 들어가자마자 꼽는다,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
니미씨발 좆썸 탈퇴한다 개좆같은 쓰레기,,시팔새끼
빗썸 할거면  접는게 나을듯.  계속 할꺼면 업비트 이동,1,ㅇㅇ  - dc official App
프로그램 봇으로 개미들 학살하는거보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
개털어버리고 난이도 존나 높이는거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하여튼 거래소ㅓ 새기들 ㅋㅋ
지케이 모닝 단타 타점 짜릿하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,이게 야수의 심장이란거다 좆밥새끼들아 ㅇㅇ
오늘 니들 개털려고 작정하고 덤벼드는거다 ㅋㅋㅋ,,ㅋㅋㅋㅋ조심들해라 ㅋㅋ
질방귀 뿌르륵 설사똥 지리고 퇴장,,
오늘 같은 날 코인하면 진짜 개털리는거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
코인이 망한이유 ㅋㅋㅋ 소닉같은 개는 평생 개기때문 ㅋㅋㅋㅋ,,ㅋㅋㅌㅌ
지케이 물린 사람들은 어떡하냐고 씨발새끼들아,,해결책을 내놔봐 좀
"포켓 나락가네 씨발 .,",,ㅌㅌ
거래소가 니들 먹여준거 다 뺏어간다 조심해라 ㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
빗썸 거래소 이용자는  메이저만 사고 업비트는  고인물 사자.,,ㅇㅇ  - dc official App
우크라이나가 전쟁 일으킨걸로 하자...JPG,,"그래야 이게 성립된다.




공용어 우크라이나어로 해서 중립국으로 EU에서 영원히 있고 싶다 이거자나




그러면 일단 러시아에게 500조원을 10년간 나눠 주고




사과하고 그리고 분단한걸로 하고




러시아 압류한돈 300조 주고 이자까지 다 배상하는걸로




그리고 20년동안 EU가있다가 통일 논의




이러면 우크라이나어 쓰는 우크라이나가 완성된다.




러시아는 러시아랑 전쟁 안하는 조건으로 통일 안막는걸로




이 500조원을 주고 우크라이나가 적대 행위 끊으면 가능한데




또 책임전가 하고 러시아 탓하다가 돈 다 날리고




또 전쟁 난다




책임전가하다가 또 전쟁난다."
소닉 시쌉쉐끼야,,올려라 ㅡㅡ  - dc official App
지케이싱크 저새끼 하는짓봐라,,역대급 씹사기코인 시발년이 - dc official App
매수하지마라 오늘 역대급 설거지다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,ㅋㅋㅋㅋㅋㅋㅋㅋ2
착장 굳? 자취방에서 혼자 밥먹는 눈나..,,"https://youtu.be/dvoJlmn8vDA?si=PA1XVtNhDkdxfRLs 크림 크로플 먹기, 홈메이드 냉파스타 저녁은 김치찜&#x1f437; Eating a cream croffle, homemade cold pasta, kimchi stew for dinner 크림 크로플 하나로 시작해서 &#x2615;+홈메이드 냉파스타 후루룩 먹고저녁은 진하게 끓인 김치찜으로 마무리 &#x1f437;단짠단짠 제대로 채운 하루 ?Starting with a cream croffle &#x2615;+Slurping homemade cold pastaEnding the night with r...youtu.be착장 굳? 자취방에서 혼자 밥먹는 눈나.."
업비트는  진짜 네이버가  인수 할까 ?,,ㅇㅇ  - dc official App
우크라이나가 위기를 기회로 만들자...jpg,,"공용어 우크라이나어로 하는 조건으로 영토까지 보장 받으려면




일단 분단하고




20년뒤 통일하는데




러시아가 허락을 해야 공용어 우크라이나어로 하고 통일 가능하다.




이떄 지금 500조를 10년간 나눠서 줬을때랑 안줬을때 다르겠지.




러시아에 500조 주고 경제제제 풀어주고




압류 300조 + 이자까지 배상




그러면 통일 할때 러시아랑 전쟁 안하는조건으로 통일 허락받고




우크라이나는 영원히 중립국으로 EU에서 존재할수있다.




우크라이나가 근데 영토 포기후 돈 끌어다가 실컷 쓰다가 돈 다 꼴아박고




러시아 욕하고 미국 욕하다가 전쟁 한번 더 나고




영토 절반 더 뜯기고




적화 통일 수순 밟을수도"
피르마 급등 하네,,ㅇㅇ  - dc official App
지케이 940% 도전,,ㅎㅎ
소닉 개는 아무도 사지않습니다 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋ
1분봉 오늘 레전드 갱신하는구나,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ싹다 설거지
ㅋㅋㅋㅋㅋㅋ싹다 프로그램만 돌아가는거봐라 ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ애미 대단하네
빗썸 상장 코인들  주봉 월봉 보면.  -99.99% 상태임.,,저정도면  이미 유의 상폐 인데.  관리 자체를 안하는거임  - dc official App
ㅋㅋㅋ오늘 봇돌리면서 개털어먹는거 레전드네 ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
조선인들 왜 갑자기 제사안지내는거냐ㅡㅡ,,"나는 원래 제사안지내는사람이라 명절은 여행가는휴일이였는데 이번 명절 티켓,방 구하기 빡세더라 점점 빡세지는 느낌임 ㅅㅂ 집구석에 쳐박혀서 제사나지낼것이지 왜자꾸 점점 안지내는분위기냐 이러면 티켓,방 경쟁 심화되잖아 ㅡㅡ"
진짜 심각하다.  알트코인  상장 부터 시세 하락 조작.  -99%,,상장은  수백만배 뻥튀기고 상장 후 에  -99% 까지 하락 시키는게  말이 되나. 빗썸은  사기 거래소임  - dc official App
포켓아 시원하게 천프로올려봐 그래야 개미붙지,,ㅇㅇ
느그들 도박 심리이용해서 전부다 설거지한다 오늘 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
질리카 기가 막히네  ㅋㅋㅋㅋㅋㅋ,,OKX랑 비트겟 VIP 수수료 비교해보니까 OKX가 더 손해보는 느낌임.. 질리카 비트겟에서 탔는데 잘 먹고 나옴  - dc official App
오늘 절대 매수하지마라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋ니들 돈 넣자마자 다꼽는다
직접 만든 국장용 신호기를 트레이딩뷰에 접목해봤습니다.,,15분봉 기준으로 만든 롱 숏 신호기에 조금전 5거래일만에 처음으로 신호가 떴네요. 참고로 77841입니다.
ㅋㅋㅋ올리는척 죄다 봇으로 청산ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
ㅋㅋㅋ돈들어가면 바로꼽네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
희토류 대체제 개발...jpg,,희토류 안 사용하고 대체 가능하다기술이 그래서 투자하는건데석유도 수소로 대체 가능
국내거래소 빨리 폐쇄 되기를 바랍니다.,,ㅇㅇ  - dc official App
오늘 작정하고 개터는거보니까 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋ코인판 또 답없네다 출금!!
국내거래소  알트 시세조작 하니라 고생한다.  숏에 미친것들,,거래소 빨리 폐쇄 되길...  - dc official App
우크라이나가 러시아로부터 인정받자...jpg,,"공용어 러시아어로 쓰더래도 영토 보존받으려면 러시아에 돈 줘야 하는데




부다페스트때 핵포기 조건으로 주권 보장받았다고




날치기 하듯이 공용어 바꿔서 전쟁 났다.




이번에 러시아에게 입힌 피해금과 점령지 구매하는 조건으로 10년간 500조 주고




러시아 압류한 돈 + 그 이자까지 배상한다.




우크라이나가 20년 고생해서 빚 다 갚고 돈바스랑 합의하에 통일하는데




이때 러시아가 전쟁 안하는 조건으로 통일 안막고




우크라이나가 완전한 영토 회복후 EU에서 중립국으로 영원히 유지하며 러시아와 전쟁을 안하는데




지금처럼 떼쓰면서 전쟁 계속 하자고 하면 우크라이나는 러시아에게 적화 통일 당하거나




영토 추가로 잃는다.




영토 포기 합의서에 사인하는 순간 우크라이나는 붕괴될꺼다.




영토 포기 합의서에 사인하려면 반드시 나토 가입해야 한다.




안 그러면 우크라이나는 얼마 못가 사라진다."
포켓 입출금중단,,겠냐 ㅉ  - dc official App
이거안삼?,,폴리
ㅋㅋㅋㅋㅋ거래소가 니들 돈 안먹여준단당 오늘은ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ23
ㅋㅋ 비트 100퍼 올라도 ㅋㅋㅋㅋ 엑시 숏 ㅋㅋㅋ,,ㄹㄹㄹㄹㄹ
난 질리카 믿는다 죠낸쏴라,,ㅅㅅㅅㅅㅅㅅㅅㅅ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ설거지장 제대로다 오늘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역대급 ㅋㅋ
쿼크나 달려라~ 신나!신나!!,,ㅇㅇ ㄹㅇ ㅎㅎ- dc official App
시발 좆같네,,주식빼고 코인한지 8개월정도 된거 같은데 코인 이 젖같은것들은 개같이 빠지고 오르는건 좆같이 오르고 주식새끼들은 시발 잘하면 집업글되니마니 하고 있고   - dc official App
ㅋㅋㅋ거래소가 니들 돈 안먹여준단다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
빗썸 알트는  현재  -99.99% 상태야.  업비트 거래소로 이동,,ㅇㅇ  - dc official App
코인으로 돈 벌기 힘든이유,,너네들이 매수했기 때문  - dc official App
오늘 작정하고 개터는구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
코인은 참 ㅋㅋㅋㅋ ㅡ  소닉 저딴건 사는 사람 있나 ㅋㅋㅋ,1,ㄹㅊㅊㅍ
ㅋㅋㅋㅋ나머진 진짜 죄다 설거지고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
포켓은  3일만에  100%  반등이네.  업비트 코인 타라 !,,빗썸은 다 쓰레기 알트만 있다  - dc official App
설거지가 오늘 역대급이네 ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
포켓몬이 답인개,,- dc official App
오늘 오전장도 끝 ㅡ 매일똑같애 ㅡ 개 ㅅ부포켓,,ㅉㅈㅈㅈ
포켓 얼마나 설겆이 하려고,,...
포켓네트워크가 계속 크게 올려주긴 하는이유,,개미가 안타줘서 질리카 등 올린거 다빼고 음전하는건 개미가 잘 타줘서 설거지 목표조건에 도달해서 박는거임ㅇㅇ 걍 맵핵키고 사기판 제발좀 사주지마라 1원치도사주지마라좀  - dc official App
블랙리스트들 아오지 탄광 보내는 업빗,,...
ㅋㅋㅋㅋ니들 오늘 돈안먹여준단다 ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
트위터보니 매니저들 소개글 많던데?,,나 비트겟 VIP인데  담당 매니저 Len 임  트위터보니 매니저들 소개글 많던데 담당 누구야?  - dc official App
폰지사기  디지털쓰레기를  자국민에게 팔아 쳐먹는 국내거래소,,천벌 받아라 !!  - dc official App
질리카로 망함 무슨 아이디를 저격 걸어났나,,예전 질리카가 아니네
또 ㅈㄹ이네,,올리나싶으면빼고 올리나싶으면빼고
오늘도 포켓으로 설거지,,에휴  - dc official App
사이버 쟤는 돈이 얼마나없는거냐ㅋㅋ,,역대급조막손인듯ㄷㄷ  - dc official App
질방귀 뿌르륵 설사똥 지리고 퇴장,,
아니 이 장에서 현물로 못버는건 ㄹㅇ 병신아니냐?,,나같은 병신도 버는 장인데 왜 다 곡소리만 내노
바람이나 쐬러가야겠네 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋ
거래소가 니들 개턴단다 오늘은 조심해라 ㅋ,,ㅋㅋㅋ2
폰지 사기 비트코인으로 국내거래소 많이 해먹었다. 폐쇄 시키자,,이제  - dc official App
ㅋㅋㅋㅋ좆나털어재끼네 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅ퓨
빗썸 코인은 모두 0원화. 상폐 대상.  업비트로 갈아타요,,ㅇㅇ  - dc official App
하 시발 -12% ㅈ같네,,당분간 라면만 먹어야게따  - dc official App
"질리카 씨발 악질새끼들 ,,",,세력사기인거알지만 진짜존나짜다 ㅅㅂ
맨날 개 ㅅㅂ 포켓때매 다죽어 나네 ㅉ 개 걸레소,,ㅉㅈㅈㅈ
아침에 50마넌 벌었노 ㅅㅅ,,캬캬캬캬캬ㅑㅋ
설거지 겁나해대네 설거지는 저녁에나 해라 ㅡㅡ,,ㅡㅡ
앱스타인이 진짜면,,너네 투자한 돈 가지고 쟤네들 배부르게 채워준 거 아니냐... 돈 떨어지면 그냥 발행해서 팔면 되니까- dc official App
79k를몬깨노 깨라,,ㅡㅅ ㅡ
홍금보야 나가서 사람좀 만나고 그래라 안쓰럽다,,병 있냐?   - dc official App
ㅋㅋ오늘 코인하지말라는 이야기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅂㅂㅁ2
죄다 설거지하는거 존나 아름답네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
작정하고 개설거지하는거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
솔라 가즈아~~~,,가즈아~~~
지케이 애미뒤진새끼 존나 무겁네,,이병신새끼 사기로 올려서는 입출금끈나니까 리플보다 더무겁네 시발년이 - dc official App
업비트 존나 악마같은새끼들이네,,순환매로 조지노?그냥 시벌 올라타면 뒤지게 만드네  관망이 답이다
개망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
사이버는 아무도 안사지 9시장난 후 반등없는 애,,ㅋㅋㅋㅋㅋ
사이버도미닉 ㅅㅅㅅ,,- dc official App
ㅋㅋㅋㅋ십설거지하는거봐라 ㅋㅋㅋㅋ,,2323
질리카 기사 진짜 개 씨발년,,내일애미뒤져라 넌 ㅋㅋㅋ- dc official App
걍 시발 코인은 답이 없네,,주식하고 너무 다르네홀더들이 뭔가 우상향에 대한 기대가 없는 느낌좀 오르려고 하면 오히려 애들이 전부 공포에 질려서 팔기 바쁨절대 반등없음
ㅋㅋㅋ오늘 개설거지장이네 ㅋㅋㅋ,,23
질리카 탈출햇다,,휴 ㅋㅋㅋ
아침부터 또 설겆이 대잔치 얼빚,,..
트럼프 씹새기 덕에 오늘 60K간다,,전쟁이야
지금은 무조건 업비트 코인만 사야 한다.,,지금 반등 못 먹음  복구 불가  - dc official App
빗썸 코인은  -99% 찍고    반등장에  단1%로 안오르게 되어있다,,설계임. 매도와 숏으로만 설계가 되어 있어서 절대 안올림.  - dc official App
쿼크 10원 간다!,,이기야! 으이?!- dc official App
포켓 500퍼찍냐ㅅㅂ 16에 -800털엇는데,,- dc official App
매일 9시에 경주마,,저거 수동으로 쳐 올리는거냐
확실히 업비트 에서 펌핑 주도하네.  빗썸은 그냥 바보네,,ㅇㅇ  - dc official App
사이버 같은 코인은 일회성 펌핑.  결국  하락하다 상폐,,ㅇㅇ  - dc official App
좆썸은 진짜 사람새끼들이 아니네ㅋㅋ,,미친개씹새끼들
결국 가치 있는 코인  .  메이저 들만 다시 오르게 되어 있다,,잡코인은 0원까지 빠진다  - dc official App
지케이 또 꿈틀 거리네 940% 래전드,,ㅋㅋ
"아직 빗썸, 업비트 쓰는 코린이",,모스코인 플로우 센티넬 메탈 카우 파월 파워렛저 마스크 하이브 에브리피디아 트론 스트라이크 트럼프코인 체인링크 스텔라루멘 솔라나 그로스톨 펑션 파이코인 누사이퍼 베이직 멜라니야 샌박샌드박스 왁스 아르고 밀크 일론머스크 엔진코인 레이븐 쎄타퓨엘 에스피티 업비트점검 디카르고 제로엑스 퀀텀 아이콘 코인원 애니메 퀴즈톡 앵커 pi 쿼크체인 솔브케어 메타디움 주피터 카바 이더리움클래식 리플 코박토큰 캐리 에이브 애니코인 아톰 스택스 바프 스와이프 바낸 melania 도지 트럼프 넴 메디블록 웨이브 시아코인 저스트 헌트 셀로 엑시인피니티 칠리즈 anime 포튜브 라이크코인 휴먼스케이프 비체인 스트라티스 선물 카이버 빗썸 1인치 썸씽 피르마체인 보라 비트코인골드 룸네트워크 엠블 세럼 오브스 메인프레임 코스모스 펀디엑스 시빅 아더 폴리매쓰 온버프 trump 테조스 멜라니아 스팀 에이다 스팀달러 바이든 쎄퓨 썬더토큰 던프 바이낸스 에스브이 디센트럴 아하 엘프 스톰엑스 비골 센티프로토콜 아크 헤데라 스토리지 쎄타토큰 골렘 무비블록 업비트 네오 이오스 비토비트토렌트 마로 폴카닷 크립토 톤 알파쿼크 루나 빗썸 온톨로지 리스크 어거 리퍼리움 비트코인캐시에이비씨 이방카 오미세고'현'물' '거'래'는' '백'날' '해'봤'자' '큰' '수'익'을' '내'기' '힘'듭'니'다'.''비'교'적' '적'은' '돈'으'로' '대'박'난' '사'람'은' '전'부'바'이'낸'스' '선'물' '거'래'로' '배'율'을' '늘'려'서' '짧'은' '기'간'에' '큰' '돈'을' '벌'었'습'니'다'.''배'율'은' '1'배'부'터' '최'대' '1'5'0'배'까'지' '원'하'는'대'로' '언'제'든'지' '변'경'할' '수' '있'고'배'율'을' '롱'에' '1'0'0'배'로' '설'정'하'면' '시'세'가' '1'%' '오'를' '때'마'다' '2'배'의' '수'익'을' '반'복'해'서' '얻'을' '수' '있'으'며숏'에' '1'0'0'배'로' '설'정'하'면' '시'세'가' '1'%' '내'릴' '때'마'다' '2'배'의' '수'익'을' '반'복'해'서' '얻'는' '방'식'입'니'다'.''최'근' '일'론' '머'스'크'도' '거'론'한' '비'트'코'인' '호'황'기'인' '만'큼전' '세'계'에'서' '가'장' '큰' '바'이'낸'스' '선'물' '거'래'소'에'서' '지'금' '기'회'를' '잡'으'세'요'.<' '바'이'낸'스' '가'입'링'크 '>''' '(''수'수'료' ''최'대'' '할'인'')'
